State Code,FIPS County Code,County Name,Metal Level,Issuer Name,HIOS Issuer ID,Plan ID (Standard Component),Plan Marketing Name,Standardized Plan Option,Plan Type,Rating Area,Child Only Offering,Source,Customer Service Phone Number Local,Customer Service Phone Number Toll Free,Customer Service Phone Number TTY,Network URL,Plan Brochure URL,Summary of Benefits URL,Drug Formulary URL,Adult Dental ,Child Dental ,EHB Percent of Total Premium,Premium Scenarios,Premium Child Age 0-14,Premium Child Age 18,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30 ,Premium Adult Individual Age 40 ,Premium Adult Individual Age 50 ,Premium Adult Individual Age 60 ,Premium Couple 21  ,Premium Couple 30 ,Premium Couple 40 ,Premium Couple 50 ,Premium Couple 60 ,"Couple+1 child, Age 21","Couple+1 child, Age 30 ","Couple+1 child, Age 40 ","Couple+1 child, Age 50 ","Couple+2 children, Age 21","Couple+2 children, Age 30 ","Couple+2 children, Age 40 ","Couple+2 children, Age 50","Couple+3 or more Children, Age 21","Couple+3 or more Children, Age 30","Couple+3 or more Children, Age 40","Couple+3 or more Children, Age 50","Individual+1 child, Age 21","Individual+1 child, Age 30","Individual+1 child, Age 40","Individual+1 child, Age 50","Individual+2 children, Age 21","Individual+2 children, Age 30","Individual+2 children, Age 40","Individual+2 children, Age 50","Individual+3 or more children, Age 21","Individual+3 or more children, Age 30","Individual+3 or more children, Age 40","Individual+3 or more children, Age 50",Standard Plan Cost Sharing,Medical Deductible - Individual - Standard,Drug Deductible - Individual - Standard,Medical Deductible - Family - Standard,Drug Deductible - Family - Standard,Medical Deductible - Family (Per Person) - Standard,Drug Deductible - Family (Per Person) - Standard,Medical Maximum Out Of Pocket - Individual - Standard,Drug Maximum Out Of Pocket - Individual - Standard,Medical Maximum Out Of Pocket - Family - Standard,Drug Maximum Out Of Pocket - Family - Standard,Medical Maximum Out Of Pocket - Family (Per Person) - Standard,Drug Maximum Out Of Pocket - Family (Per Person) - Standard,Primary Care Physician - Standard,Specialist - Standard,Emergency Room - Standard,Inpatient Facility - Standard,Inpatient Physician - Standard,Generic Drugs - Standard,Preferred Brand Drugs - Standard,Non-preferred Brand Drugs - Standard,Specialty Drugs - Standard,73 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 73 Percent,Drug Deductible - Individual - 73 Percent,Medical Deductible - Family - 73 Percent,Drug Deductible - Family - 73 Percent,Medical Deductible - Family (Per Person) - 73 Percent,Drug Deductible - Family (Per Person) - 73 Percent,Medical Maximum Out Of Pocket - Individual - 73 Percent,Drug Maximum Out Of Pocket - Individual - 73 Percent,Medical Maximum Out Of Pocket - Family - 73 Percent,Drug Maximum Out Of Pocket - Family - 73 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 73 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 73 Percent,Primary Care Physician - 73 Percent,Specialist - 73 Percent,Emergency Room - 73 Percent,Inpatient Facility - 73 Percent,Inpatient Physician - 73 Percent,Generic Drugs - 73 Percent,Preferred Brand Drugs - 73 Percent,Non-preferred Brand Drugs - 73 Percent,Specialty Drugs - 73 Percent,87 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 87 Percent,Drug Deductible - Individual - 87 Percent,Medical Deductible - Family - 87 Percent,Drug Deductible - Family - 87 Percent,Medical Deductible - Family (Per Person) - 87 Percent,Drug Deductible - Family (Per Person) - 87 Percent,Medical Maximum Out Of Pocket - Individual - 87 Percent,Drug Maximum Out Of Pocket - Individual - 87 Percent,Medical Maximum Out Of Pocket - Family - 87 Percent,Drug Maximum Out Of Pocket - Family - 87 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 87 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 87 Percent,Primary Care Physician - 87 Percent,Specialist - 87 Percent,Emergency Room - 87 Percent,Inpatient Facility - 87 Percent,Inpatient Physician - 87 Percent,Generic Drugs - 87 Percent,Preferred Brand Drugs - 87 Percent,Non-preferred Brand Drugs - 87 Percent,Specialty Drugs - 87 Percent,94 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 94 Percent,Drug Deductible - Individual - 94 Percent,Medical Deductible - Family - 94 Percent,Drug Deductible - Family - 94 Percent,Medical Deductible - Family (Per Person) - 94 Percent,Drug Deductible - Family (Per Person) - 94 Percent,Medical Maximum Out Of Pocket -individual - 94 Percent,Drug Maximum Out Of Pocket - individual - 94 Percent,Medical Maximum Out Of Pocket - family - 94 Percent,Drug Maximum Out Of Pocket - Family  - 94 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 94 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 94 Percent,Primary Care Physician - 94 Percent,Specialist - 94 Percent,Emergency Room - 94 Percent,Inpatient Facility - 94 Percent,Inpatient Physician - 94 Percent,Generic Drugs - 94 Percent,Preferred Brand Drugs - 94 Percent,Non-preferred Brand Drugs - 94 Percent,Specialty Drugs - 94 Percent,,
OH,39001,Adams,Expanded Bronze,Anthem Blue Cross and Blue Shield,29276,29276OH0920413,Anthem Bronze Pathway X HMO 5000 ($0 Virtual PCP + $0 Select Drugs + Incentives),Not Applicable,HMO,Rating Area 5,Allows Adult and Child-Only,SERFF,1-855-748-1808,1-855-748-1808,,https://www.anthem.com/find-care/?alphaprefix=JWV,http://anthem.ly/IND-OH-EN-KIT-2023,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemBronzePathwayXHMO50000VirtualPCP0SelectDrugsIncentives/English/DG24746420,https://www.anthem.com/OHSelectdrugtier4,,X,100.00%,,266.4,317.94,348.24,364.96,395.25,445.05,621.96,945.12,696.48,790.5,890.1,1243.92,1890.24,962.88,1056.9,1156.5,1510.32,1229.28,1323.3,1422.9,1776.72,1495.68,1589.7,1689.3,2043.12,614.64,661.65,711.45,888.36,881.04,928.05,977.85,1154.76,1147.44,1194.45,1244.25,1421.16,,"$5,000",Included in Medical,"$10,000",Included in Medical,"$5,000",Included in Medical,"$9,100",Included in Medical,"$18,200",Included in Medical,"$9,100",Included in Medical,$50 and 40% Coinsurance after deductible,40% Coinsurance after deductible,$500 Copay after deductible and 40% Coinsurance after deductible,$500 Copay per Stay after deductible and 50% Coinsurance after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,39001,Adams,Bronze,Anthem Blue Cross and Blue Shield,29276,29276OH0920414,Anthem Bronze Pathway X HMO 9100 ($0 Virtual PCP + $0 Select Drugs + Incentives),Not Applicable,HMO,Rating Area 5,Allows Adult and Child-Only,SERFF,1-855-748-1808,1-855-748-1808,,https://www.anthem.com/find-care/?alphaprefix=JWV,http://anthem.ly/IND-OH-EN-KIT-2023,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemBronzePathwayXHMO91000VirtualPCP0SelectDrugsIncentives/English/DG24746435,https://www.anthem.com/OHSelectdrugtier4,,X,100.00%,,251.62,300.3,328.92,344.71,373.32,420.36,587.45,892.69,657.84,746.64,840.72,1174.9,1785.38,909.46,998.26,1092.34,1426.52,1161.08,1249.88,1343.96,1678.14,1412.7,1501.5,1595.58,1929.76,580.54,624.94,671.98,839.07,832.16,876.56,923.6,1090.69,1083.78,1128.18,1175.22,1342.31,,"$9,100",Included in Medical,"$18,200",Included in Medical,"$9,100",Included in Medical,"$9,100",Included in Medical,"$18,200",Included in Medical,"$9,100",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,39001,Adams,Silver,Anthem Blue Cross and Blue Shield,29276,29276OH0920415,Anthem Silver Pathway X HMO 4000 ($0 Virtual PCP + $0 Select Drugs + Incentives),Not Applicable,HMO,Rating Area 5,Allows Adult and Child-Only,SERFF,1-855-748-1808,1-855-748-1808,,https://www.anthem.com/find-care/?alphaprefix=JWV,http://anthem.ly/IND-OH-EN-KIT-2023,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemSilverPathwayXHMO40000VirtualPCP0SelectDrugsIncentives/English/DG24746711,https://www.anthem.com/OHSelectdrugtier4,,X,100.00%,,335.64,400.58,438.75,459.81,497.98,560.72,783.61,1190.77,877.5,995.96,1121.44,1567.22,2381.54,1213.14,1331.6,1457.08,1902.86,1548.78,1667.24,1792.72,2238.5,1884.42,2002.88,2128.36,2574.14,774.39,833.62,896.36,1119.25,1110.03,1169.26,1232,1454.89,1445.67,1504.9,1567.64,1790.53,,"$4,000","$1,000","$8,000","$2,000","$4,000","$1,000","$8,600",Included in Medical,"$17,200",Included in Medical,"$8,600",Included in Medical,$20,25% Coinsurance after deductible,$500 Copay after deductible and 25% Coinsurance after deductible,$500 Copay per Stay after deductible and 50% Coinsurance after deductible,25% Coinsurance after deductible,$3,$40 Copay after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,,"$3,500","$1,000","$7,000","$2,000","$3,500","$1,000","$5,900",Included in Medical,"$11,800",Included in Medical,"$5,900",Included in Medical,$15,25% Coinsurance after deductible,$500 Copay after deductible and 25% Coinsurance after deductible,$500 Copay per Stay after deductible and 50% Coinsurance after deductible,25% Coinsurance after deductible,$3,$40 Copay after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,,$500,$400,"$1,000",$800,$500,$400,"$2,100",Included in Medical,"$4,200",Included in Medical,"$2,100",Included in Medical,$10,25% Coinsurance after deductible,$400 Copay after deductible and 25% Coinsurance after deductible,$300 Copay per Stay after deductible and 50% Coinsurance after deductible,25% Coinsurance after deductible,$3,$40 Copay after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,,$200,$150,$400,$300,$200,$150,$650,Included in Medical,"$1,300",Included in Medical,$650,Included in Medical,$10,25% Coinsurance after deductible,$400 Copay after deductible and 25% Coinsurance after deductible,$150 Copay per Stay after deductible and 50% Coinsurance after deductible,25% Coinsurance after deductible,$3,$30 Copay after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,,
OH,39001,Adams,Expanded Bronze,Anthem Blue Cross and Blue Shield,29276,29276OH0920417,Anthem Bronze Pathway X HMO 7450/0% for HSA (+ Incentives),Not Applicable,HMO,Rating Area 5,Allows Adult and Child-Only,SERFF,1-855-748-1808,1-855-748-1808,,https://www.anthem.com/find-care/?alphaprefix=JWV,http://anthem.ly/IND-OH-EN-KIT-2023,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemBronzePathwayXHMO74500forHSAIncentives/English/DG24746710,https://www.anthem.com/OHSelectdrugtier4,,X,100.00%,,270.27,322.55,353.29,370.25,400.98,451.5,630.98,958.83,706.58,801.96,903,1261.96,1917.66,976.85,1072.23,1173.27,1532.23,1247.12,1342.5,1443.54,1802.5,1517.39,1612.77,1713.81,2072.77,623.56,671.25,721.77,901.25,893.83,941.52,992.04,1171.52,1164.1,1211.79,1262.31,1441.79,,"$7,450",Included in Medical,"$14,900",Included in Medical,"$7,450",Included in Medical,"$7,450",Included in Medical,"$14,900",Included in Medical,"$7,450",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,39001,Adams,Silver,Anthem Blue Cross and Blue Shield,29276,29276OH0920418,Anthem Silver Pathway X HMO 3200/10% for HSA (+ Incentives),Not Applicable,HMO,Rating Area 5,Allows Adult and Child-Only,SERFF,1-855-748-1808,1-855-748-1808,,https://www.anthem.com/find-care/?alphaprefix=JWV,http://anthem.ly/IND-OH-EN-KIT-2023,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemSilverPathwayXHMO320010forHSAIncentives/English/DG24746404,https://www.anthem.com/OHSelectdrugtier4,,X,100.00%,,337.76,403.1,441.51,462.7,501.11,564.25,788.54,1198.26,883.02,1002.22,1128.5,1577.08,2396.52,1220.78,1339.98,1466.26,1914.84,1558.54,1677.74,1804.02,2252.6,1896.3,2015.5,2141.78,2590.36,779.27,838.87,902.01,1126.3,1117.03,1176.63,1239.77,1464.06,1454.79,1514.39,1577.53,1801.82,,"$3,200",Included in Medical,"$6,400",Included in Medical,"$3,200",Included in Medical,"$7,450",Included in Medical,"$14,900",Included in Medical,"$7,450",Included in Medical,10% Coinsurance after deductible,10% Coinsurance after deductible,$500 Copay after deductible and 10% Coinsurance after deductible,$500 Copay per Stay after deductible and 50% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,,"$2,600",Included in Medical,"$5,200",Included in Medical,"$2,600",Included in Medical,"$5,750",Included in Medical,"$11,500",Included in Medical,"$5,750",Included in Medical,10% Coinsurance after deductible,10% Coinsurance after deductible,$500 Copay after deductible and 10% Coinsurance after deductible,$500 Copay per Stay after deductible and 50% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,,$825,Included in Medical,"$1,650",Included in Medical,$825,Included in Medical,"$1,950",Included in Medical,"$3,900",Included in Medical,"$1,950",Included in Medical,10% Coinsurance after deductible,10% Coinsurance after deductible,$500 Copay after deductible and 10% Coinsurance after deductible,$250 Copay per Stay after deductible and 50% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,,$200,Included in Medical,$400,Included in Medical,$200,Included in Medical,$800,Included in Medical,"$1,600",Included in Medical,$800,Included in Medical,10% Coinsurance after deductible,10% Coinsurance after deductible,$500 Copay after deductible and 10% Coinsurance after deductible,$150 Copay per Stay after deductible and 50% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,,
OH,39001,Adams,Expanded Bronze,Anthem Blue Cross and Blue Shield,29276,29276OH0920420,Anthem Bronze Pathway X HMO 6000/20% for HSA (+ Incentives),Not Applicable,HMO,Rating Area 5,Allows Adult and Child-Only,SERFF,1-855-748-1808,1-855-748-1808,,https://www.anthem.com/find-care/?alphaprefix=JWV,http://anthem.ly/IND-OH-EN-KIT-2023,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemBronzePathwayXHMO600020forHSAIncentives/English/DG24746403,https://www.anthem.com/OHSelectdrugtier4,,X,100.00%,,273.81,326.78,357.92,375.1,406.24,457.42,639.25,971.39,715.84,812.48,914.84,1278.5,1942.78,989.65,1086.29,1188.65,1552.31,1263.46,1360.1,1462.46,1826.12,1537.27,1633.91,1736.27,2099.93,631.73,680.05,731.23,913.06,905.54,953.86,1005.04,1186.87,1179.35,1227.67,1278.85,1460.68,,"$6,000",Included in Medical,"$12,000",Included in Medical,"$6,000",Included in Medical,"$7,450",Included in Medical,"$14,900",Included in Medical,"$7,450",Included in Medical,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,$500 Copay per Stay after deductible and 50% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,39001,Adams,Silver,Anthem Blue Cross and Blue Shield,29276,29276OH0920421,Anthem Silver Pathway X HMO 5400/0% for HSA ( + Incentives),Not Applicable,HMO,Rating Area 5,Allows Adult and Child-Only,SERFF,1-855-748-1808,1-855-748-1808,,https://www.anthem.com/find-care/?alphaprefix=JWV,http://anthem.ly/IND-OH-EN-KIT-2023,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemSilverPathwayXHMO54000forHSAIncentives/English/DG24746422,https://www.anthem.com/OHSelectdrugtier4,,X,100.00%,,343.65,410.13,449.21,470.77,509.85,574.09,802.29,1219.16,898.42,1019.7,1148.18,1604.58,2438.32,1242.07,1363.35,1491.83,1948.23,1585.72,1707,1835.48,2291.88,1929.37,2050.65,2179.13,2635.53,792.86,853.5,917.74,1145.94,1136.51,1197.15,1261.39,1489.59,1480.16,1540.8,1605.04,1833.24,,"$5,400",Included in Medical,"$10,800",Included in Medical,"$5,400",Included in Medical,"$5,400",Included in Medical,"$10,800",Included in Medical,"$5,400",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,"$4,200",Included in Medical,"$8,400",Included in Medical,"$4,200",Included in Medical,"$4,200",Included in Medical,"$8,400",Included in Medical,"$4,200",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,"$1,475",Included in Medical,"$2,950",Included in Medical,"$1,475",Included in Medical,"$1,475",Included in Medical,"$2,950",Included in Medical,"$1,475",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,$550,Included in Medical,"$1,100",Included in Medical,$550,Included in Medical,$550,Included in Medical,"$1,100",Included in Medical,$550,Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,
OH,39001,Adams,Silver,Anthem Blue Cross and Blue Shield,29276,29276OH0920423,Anthem Silver Pathway X HMO 3000 ($0 Virtual PCP + $0 Select Drugs + Incentives),Not Applicable,HMO,Rating Area 5,Allows Adult and Child-Only,SERFF,1-855-748-1808,1-855-748-1808,,https://www.anthem.com/find-care/?alphaprefix=JWV,http://anthem.ly/IND-OH-EN-KIT-2023,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemSilverPathwayXHMO30000VirtualPCP0SelectDrugsIncentives/English/DG24746355,https://www.anthem.com/OHSelectdrugtier4,,X,100.00%,,343.82,410.34,449.44,471.01,510.11,574.38,802.7,1219.78,898.88,1020.22,1148.76,1605.4,2439.56,1242.7,1364.04,1492.58,1949.22,1586.52,1707.86,1836.4,2293.04,1930.34,2051.68,2180.22,2636.86,793.26,853.93,918.2,1146.52,1137.08,1197.75,1262.02,1490.34,1480.9,1541.57,1605.84,1834.16,,"$3,000",Included in Medical,"$6,000",Included in Medical,"$3,000",Included in Medical,"$9,100",Included in Medical,"$18,200",Included in Medical,"$9,100",Included in Medical,$40 and 15% Coinsurance after deductible,15% Coinsurance after deductible,$200 Copay after deductible and 15% Coinsurance after deductible,$500 Copay per Stay after deductible and 15% Coinsurance after deductible,15% Coinsurance after deductible,$20,$50 Copay after deductible,40% Coinsurance after deductible,40% Coinsurance after deductible,,"$3,000",Included in Medical,"$6,000",Included in Medical,"$3,000",Included in Medical,"$6,650",Included in Medical,"$13,300",Included in Medical,"$6,650",Included in Medical,$40 and 15% Coinsurance after deductible,15% Coinsurance after deductible,$200 Copay after deductible and 15% Coinsurance after deductible,$500 Copay per Stay after deductible and 15% Coinsurance after deductible,15% Coinsurance after deductible,$20,$50,40% Coinsurance after deductible,40% Coinsurance after deductible,,"$1,100",Included in Medical,"$2,200",Included in Medical,"$1,100",Included in Medical,"$1,700",Included in Medical,"$3,400",Included in Medical,"$1,700",Included in Medical,$30 and 15% Coinsurance after deductible,15% Coinsurance after deductible,$200 Copay after deductible and 15% Coinsurance after deductible,$250 Copay per Stay after deductible and 15% Coinsurance after deductible,15% Coinsurance after deductible,$20,$50,40% Coinsurance after deductible,40% Coinsurance after deductible,,$200,Included in Medical,$400,Included in Medical,$200,Included in Medical,$650,Included in Medical,"$1,300",Included in Medical,$650,Included in Medical,$15 and 15% Coinsurance after deductible,15% Coinsurance after deductible,$200 Copay after deductible and 15% Coinsurance after deductible,$150 Copay per Stay after deductible and 15% Coinsurance after deductible,15% Coinsurance after deductible,$20,$50,40% Coinsurance after deductible,40% Coinsurance after deductible,,
OH,39001,Adams,Silver,Anthem Blue Cross and Blue Shield,29276,29276OH0920424,Anthem Silver Pathway X HMO 5000 ($0 Virtual PCP + $0 Select Drugs + Incentives),Not Applicable,HMO,Rating Area 5,Allows Adult and Child-Only,SERFF,1-855-748-1808,1-855-748-1808,,https://www.anthem.com/find-care/?alphaprefix=JWV,http://anthem.ly/IND-OH-EN-KIT-2023,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemSilverPathwayXHMO50000VirtualPCP0SelectDrugsIncentives/English/DG24746399,https://www.anthem.com/OHSelectdrugtier4,,X,100.00%,,331.09,395.15,432.8,453.57,491.23,553.12,772.98,1174.62,865.6,982.46,1106.24,1545.96,2349.24,1196.69,1313.55,1437.33,1877.05,1527.78,1644.64,1768.42,2208.14,1858.87,1975.73,2099.51,2539.23,763.89,822.32,884.21,1104.07,1094.98,1153.41,1215.3,1435.16,1426.07,1484.5,1546.39,1766.25,,"$5,000",Included in Medical,"$10,000",Included in Medical,"$5,000",Included in Medical,"$7,950",Included in Medical,"$15,900",Included in Medical,"$7,950",Included in Medical,$35,35% Coinsurance after deductible,$500 Copay after deductible and 35% Coinsurance after deductible,$500 Copay per Stay after deductible and 50% Coinsurance after deductible,35% Coinsurance after deductible,$10,$40,40% Coinsurance after deductible,40% Coinsurance after deductible,,"$3,650",Included in Medical,"$7,300",Included in Medical,"$3,650",Included in Medical,"$5,900",Included in Medical,"$11,800",Included in Medical,"$5,900",Included in Medical,$35,35% Coinsurance after deductible,$500 Copay after deductible and 35% Coinsurance after deductible,$500 Copay per Stay after deductible and 50% Coinsurance after deductible,35% Coinsurance after deductible,$10,$40,40% Coinsurance after deductible,40% Coinsurance after deductible,,$900,Included in Medical,"$1,800",Included in Medical,$900,Included in Medical,"$1,800",Included in Medical,"$3,600",Included in Medical,"$1,800",Included in Medical,$25,35% Coinsurance after deductible,$500 Copay after deductible and 35% Coinsurance after deductible,$500 Copay per Stay after deductible and 50% Coinsurance after deductible,35% Coinsurance after deductible,$10,$40,40% Coinsurance after deductible,40% Coinsurance after deductible,,$250,Included in Medical,$500,Included in Medical,$250,Included in Medical,$650,Included in Medical,"$1,300",Included in Medical,$650,Included in Medical,$25,35% Coinsurance after deductible,$350 Copay after deductible and 35% Coinsurance after deductible,$350 Copay per Stay after deductible and 50% Coinsurance after deductible,35% Coinsurance after deductible,$10,$40,40% Coinsurance after deductible,40% Coinsurance after deductible,,
OH,39001,Adams,Catastrophic,Anthem Blue Cross and Blue Shield,29276,29276OH0920425,Anthem Catastrophic Pathway X HMO 9100 ( + Incentives),Not Applicable,HMO,Rating Area 5,Allows Adult and Child-Only,SERFF,1-855-748-1808,1-855-748-1808,,https://www.anthem.com/find-care/?alphaprefix=JWV,http://anthem.ly/IND-OH-EN-KIT-2023,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemCatastrophicPathwayXHMO9100Incentives/English/DG24746412,https://www.anthem.com/OHSelectdrugtier4,,X,100.00%,,199.12,237.64,260.29,272.78,295.43,332.65,464.88,706.43,520.58,590.86,665.3,929.76,1412.86,719.7,789.98,864.42,1128.88,918.82,989.1,1063.54,1328,1117.94,1188.22,1262.66,1527.12,459.41,494.55,531.77,664,658.53,693.67,730.89,863.12,857.65,892.79,930.01,1062.24,,"$9,100",Included in Medical,"$18,200",Included in Medical,"$9,100",Included in Medical,"$9,100",Included in Medical,"$18,200",Included in Medical,"$9,100",Included in Medical,$40,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
